the_geom,OBJECTID,CNN,CORNER,STREET1,STREET2,DESCRIPT,COUNT,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,INSTALL_MO,INSTALL_YR,GLOBALID,UPDATE_MO,UPDATE_YR
POINT (-122.433811174701 37.805048181243),65,26758000,,BUCHANAN ST,MARINA BLVD,BIKE SIGNAL,2,,,JENWONG,12/13/2017 10:34:28 PM +0000,,2013,{4774CE50-2151-458C-A3E1-E6B2BE899CBA},,
POINT (-122.413398451401 37.769506948919),40,24228000,,13TH ST,HARRISON ST,INTERSECTION SHARROW,3,JENWONG,12/15/2016 10:59:34 PM +0000,JENWONG,05/22/2017 05:18:12 PM +0000,9,2015,{EC77A1F6-4EEA-4537-8A1C-0E3DD868656E},5,2017
POINT (-122.413161264093 37.780998727483),973,30045000,,MCALLISTER ST,CHARLES J BRENHAM PL,TWO-STAGE LEFT,1,JENWONG,10/25/2017 04:02:15 PM +0000,JENWONG,10/25/2017 04:04:33 PM +0000,4,2017,{EAA01A9C-1BC3-4830-A63B-A6B189AE586D},,
POINT (-122.407314287894 37.807385017158),963,25474000,,THE EMBARCADERO,NORTH POINT ST,TWO-STAGE LEFT,1,JENWONG,08/16/2017 12:23:07 AM +0000,JENWONG,08/16/2017 12:24:34 AM +0000,6,2017,{8231F28B-D792-471A-9E1B-8B38763F1ACF},,
POINT (-122.409951454557 37.778421227779),331,24289000,,7TH ST,NATOMA ST,INTERSECTION SHARROW,1,JENWONG,05/22/2017 06:06:30 PM +0000,JENWONG,05/22/2017 06:07:13 PM +0000,4,2017,{6A65CDAF-DCE2-4876-B7F5-2ECD968129EE},,
POINT (-122.395658679847 37.786383883243),63,24524000,,FOLSOM ST,ESSEX ST,BIKE SIGNAL,2,JENWONG,05/09/2016 09:42:43 PM +0000,JENWONG,12/13/2017 10:34:33 PM +0000,3,2016,{3DE11066-6F93-44B4-BFBF-95F49CFE8AF8},,
POINT (-122.458744844272 37.779338100144),647,27225000,,ARGUELLO BLVD,ANZA ST,MIXING ZONE,1,JENWONG,07/26/2017 09:38:37 PM +0000,JENWONG,07/26/2017 09:51:13 PM +0000,10,2016,{5BCFA27C-B9D8-4FFF-BC51-18FB9889F840},,
POINT (-122.458871882928 37.781262002287),648,27230000,,ARGUELLO BLVD,GEARY BLVD,INTERSECTION SHARROW,2,JENWONG,07/26/2017 09:51:35 PM +0000,JENWONG,07/26/2017 09:52:10 PM +0000,10,2016,{BEBFD64A-C113-419B-8D23-B9F652981482},,
POINT (-122.395658679847 37.786383883243),9,24524000,,FOLSOM ST,ESSEX ST,INTERSECTION SHARROW,1,JENWONG,05/09/2016 09:46:55 PM +0000,JENWONG,05/09/2016 09:48:11 PM +0000,4,2016,{0522310A-58AA-4D95-877F-D597C2F7AA41},,
POINT (-122.417117349833 37.774330231544),970,24421000,,11TH ST,MISSION ST,BIKE BOX,1,JENWONG,08/29/2017 07:42:22 PM +0000,JENWONG,08/29/2017 07:43:41 PM +0000,8,2017,{5259D413-1427-4C2B-B295-9FD876114182},,
POINT (-122.410949788693 37.779216630551),328,24315000,,7TH ST,MISSION ST,MIXING ZONE,1,JENWONG,05/22/2017 06:04:38 PM +0000,JENWONG,05/22/2017 06:05:22 PM +0000,4,2017,{744E45AE-5DA2-4280-A770-EDC90B6A0419},,
POINT (-122.410414707584 37.778790317289),330,24291000,,7TH ST,MINNA ST,INTERSECTION SHARROW,1,JENWONG,05/22/2017 06:05:42 PM +0000,JENWONG,05/22/2017 06:06:14 PM +0000,4,2017,{49B835CA-EDA4-40DD-A487-6E5D11796217},,
POINT (-122.401388705752 37.789269269497),2,30734000,NE,MARKET ST,2ND ST,BIKE BOX,1,JENWONG,05/09/2016 10:16:44 PM +0000,JENWONG,05/09/2016 10:18:02 PM +0000,4,2016,{9D5FC69A-C815-4544-B915-A528BCE8C40F},,
POINT (-122.435386208844 37.771484374504),28,26025000,,SCOTT ST,HAIGHT ST,INTERSECTION SHARROW,3,,,MTA,04/29/2016 10:44:54 PM +0000,,2012,{DCA2535E-AC1C-40D5-9929-969BC5BE3937},,
POINT (-122.45926898918 37.786628242039),652,27570000,,ARGUELLO BLVD,SACRAMENTO ST,MIXING ZONE,1,JENWONG,07/26/2017 09:59:00 PM +0000,JENWONG,07/26/2017 09:59:18 PM +0000,10,2016,{9429957C-D4B5-4592-BE68-A593A54ADDF1},,
POINT (-122.422632914862 37.77250770905),37,30755000,,MARKET ST,VALENCIA ST,INTERSECTION SHARROW,1,,,MTA,04/29/2016 10:44:54 PM +0000,,2012,{18F8F7B8-0BD0-405B-BCF4-C9CE520E435A},,
POINT (-122.410944300976 37.769416135446),11,24216000,,DIVISION ST,11TH ST,TWO-STAGE LEFT,2,JENWONG,12/15/2016 10:45:46 PM +0000,JENWONG,12/15/2016 10:58:09 PM +0000,9,2015,{75658C2F-676C-4A36-8473-B861342E0510},,
POINT (-122.413170905935 37.777462364881),321,24311000,,8TH ST,MISSION ST,MIXING ZONE,1,JENWONG,05/22/2017 05:29:04 PM +0000,JENWONG,05/22/2017 05:30:23 PM +0000,5,2017,{7D40715F-192C-410F-A329-DDA7B4CA97C1},,
POINT (-122.412629881433 37.777031365705),326,24310000,,8TH ST,MINNA ST,INTERSECTION SHARROW,1,JENWONG,05/22/2017 05:34:46 PM +0000,JENWONG,05/22/2017 05:35:17 PM +0000,5,2017,{C66747D1-52AA-4E51-A08B-6A5A93107140},,
POINT (-122.439947599426 37.734861748731),656,22267000,,BOSWORTH ST,ELK ST,INTERSECTION SHARROW,2,JENWONG,08/15/2017 10:04:57 PM +0000,JENWONG,10/25/2017 04:26:30 PM +0000,7,2017,{BC313BF6-B49F-425C-9BF5-413175AB9F79},,
POINT (-122.41630492582 37.777498734798),27,30746000,"SW, NE",MARKET ST,9TH ST/LARKIN ST,BIKE BOX,2,,,MTA,04/29/2016 10:44:54 PM +0000,,2011,{B8655DA0-00F7-4570-8DF4-017046253A2A},,
POINT (-122.459057775685 37.783831546196),650,27562000,,ARGUELLO BLVD,EUCLID AVE,MIXING ZONE,2,JENWONG,07/26/2017 09:53:25 PM +0000,JENWONG,07/26/2017 09:54:58 PM +0000,10,2016,{99442930-D06C-4DF1-AC51-7E153756FFC9},,
POINT (-122.41751468657 37.776545785908),15,30746000,,MARKET ST,10TH ST/POLK ST,TWO-STAGE LEFT,2,,,MTA,04/29/2016 10:44:54 PM +0000,,2014,{9BDCB2C9-CB74-4681-B13E-9904F408B593},,
POINT (-122.415590229257 37.769596104226),61,24349000,,13TH ST,FOLSOM ST,INTERSECTION SHARROW,2,JENWONG,12/15/2016 11:02:33 PM +0000,JENWONG,12/15/2016 11:03:10 PM +0000,9,2015,{62046732-04C9-470E-B39F-36CFC012BE96},,
POINT (-122.452450111703 37.772194570378),14,26437000,,FELL ST,PANHANDLE PATH/SHRADER ST,BIKE SIGNAL,1,,,JENWONG,12/13/2017 10:34:33 PM +0000,,2011,{1768AB25-350F-4434-AB3F-845F929A728D},,
POINT (-122.383131435225 37.743888228357),21,33105000,,CARGO WAY,MENDELL ST,BIKE SIGNAL,4,,,JENWONG,12/13/2017 10:34:31 PM +0000,,2012,{00197F01-C7D1-4F74-A17B-41422687974C},,
POINT (-122.39507375546 37.766549522694),965,23785000,,16TH ST,MISSISSIPPI ST,TWO-STAGE LEFT,1,JENWONG,08/16/2017 06:05:57 PM +0000,JENWONG,08/16/2017 06:08:24 PM +0000,3,2017,{57D3A0E3-B379-4C7B-B2CA-58CBDFB4B44B},,
