Year,Month Number,Month,Utility,Owner,Units,Usage
2013,1,Jan,Electricity,Commission,kWh,12512774
2013,2,Feb,Electricity,Commission,kWh,12679814
2013,3,Mar,Electricity,Commission,kWh,13342930
2013,4,Apr,Electricity,Commission,kWh,13494324
2013,5,May,Electricity,Commission,kWh,14071535
2013,6,Jun,Electricity,Commission,kWh,14001517
2013,7,Jul,Electricity,Commission,kWh,14062855
2013,8,Aug,Electricity,Commission,kWh,14891460
2013,9,Sep,Electricity,Commission,kWh,14492253
2013,10,Oct,Electricity,Commission,kWh,13994091
2013,11,Nov,Electricity,Commission,kWh,13648436
2013,12,Dec,Electricity,Commission,kWh,13443219
2014,1,Jan,Electricity,Commission,kWh,13785012
2014,2,Feb,Electricity,Commission,kWh,12135373
2014,3,Mar,Electricity,Commission,kWh,13777385
2014,4,Apr,Electricity,Commission,kWh,13173650
2014,5,May,Electricity,Commission,kWh,14074335
2014,6,Jun,Electricity,Commission,kWh,13753007
2014,7,Jul,Electricity,Commission,kWh,14449433
2014,8,Aug,Electricity,Commission,kWh,14398637
2014,9,Sep,Electricity,Commission,kWh,14906904
2014,10,Oct,Electricity,Commission,kWh,14930634
2014,11,Nov,Electricity,Commission,kWh,13892377
2014,12,Dec,Electricity,Commission,kWh,13925233
2015,1,Jan,Electricity,Commission,kWh,13250939
2015,2,Feb,Electricity,Commission,kWh,12349999
2015,3,Mar,Electricity,Commission,kWh,13817453
2015,4,Apr,Electricity,Commission,kWh,13275634
2015,5,May,Electricity,Commission,kWh,13464806
2015,6,Jun,Electricity,Commission,kWh,14064323
2015,7,Jul,Electricity,Commission,kWh,15150061
2015,8,Aug,Electricity,Commission,kWh,14835884
2015,9,Sep,Electricity,Commission,kWh,15876484
2015,10,Oct,Electricity,Commission,kWh,15964169
2015,11,Nov,Electricity,Commission,kWh,12716253
2015,12,Dec,Electricity,Commission,kWh,13325913
2016,1,Jan,Electricity,Commission,kWh,13252081
2016,2,Feb,Electricity,Commission,kWh,13738357
2016,3,Mar,Electricity,Commission,kWh,14445353
2016,4,Apr,Electricity,Commission,kWh,13592386
2016,5,May,Electricity,Commission,kWh,14158738
2016,6,Jun,Electricity,Commission,kWh,14189444
2016,7,Jul,Electricity,Commission,kWh,13688645
2016,8,Aug,Electricity,Commission,kWh,14381376
