the_geom,OBJECTID,CNN,STREET,ST_TYPE,STREET_GC,FROM_ST,TO_ST,SPEEDLIMIT,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,SHAPE.LEN,SCHOOLZONE,SCHOOLZONE_LIMIT,Status,MTAB_MOTION,MTAB_DATE,MTAB_RESO_TEXT,WorkOrder
"MULTILINESTRING ((-122.388142551249 37.708783190508, -122.387505777705 37.708421695436))",8998,10807000,QUEBEC,AVE,,DONAHUE ST,END: 0-0 BLOCK,0,,,,,226.41835632239201,,,,,,,
"MULTILINESTRING ((-122.413379399913 37.796088498355, -122.414290692618 37.795973854163))",6005,10139000,PACIFIC,AVE,,TAYLOR ST,PHOENIX TER,0,,,,,266.61774282787104,,,,,,,
"MULTILINESTRING ((-122.4574874545 37.731002432891, -122.457625674686 37.731867370646, -122.457701704658 37.73218374295))",14128,10532000,PLYMOUTH,AVE,,MONTEREY BLVD,MANGELS AVE,0,,,,,434.77663652169997,,,,,,,
"MULTILINESTRING ((-122.412004847576 37.739714951063, -122.411761090128 37.739858660541, -122.411383306573 37.739836003379))",7605,4433000,CORTLAND,AVE,,PRENTISS ST,NEVADA ST,25,,,,,197.35073120443602,,,,,,,
"MULTILINESTRING ((-122.494312033042 37.731889312332, -122.495157083725 37.731852150353))",13757,9873000,OCEAN,AVE,,LAKESHORE DR,COUNTRY CLUB DR,0,,,,,244.77294597720802,,,,,,,
"MULTILINESTRING ((-122.429795810605 37.785568792206, -122.431379615472 37.785377591006))",7171,10645000,POST,ST,,POST ST,WEBSTER ST,0,,,,,462.98974007208301,,,,,,,
"MULTILINESTRING ((-122.410064281627 37.74196879906, -122.41008143458 37.741749950192))",11660,3748000,CARVER,ST,,CARVER ST,BERNAL HEIGHTS BLVD,0,,,,,79.847483016108399,,,,,,,
"MULTILINESTRING ((-122.427789899079 37.807088006929, -122.428268216607 37.80700230472))",1217,19127000,FUNSTON,RD,,FRANKLIN ST,POPE RD,0,,,,,141.67515596217802,,,,,,,
"MULTILINESTRING ((-122.441330976254 37.718638993953, -122.441889977621 37.719086097782))",9732,11759000,SENECA,AVE,,ALEMANY BLVD,BANNOCK ST,0,,,,,229.46393147351003,,,,,,,
"MULTILINESTRING ((-122.401333449363 37.740114470127, -122.401491141953 37.740269860261, -122.401725285862 37.740407846983, -122.403623952851 37.741480667849))",10959,10231000,PALOU,AVE,,DORMAN AVE,BARNEVELD AVE,0,,,,,830.84076952216412,,,,,,,
"MULTILINESTRING ((-122.460235865899 37.716597786045, -122.460245014445 37.717448768094))",12507,5423000,FAXON,AVE,,MONTANA ST,THRIFT ST,0,,,,,309.89293871454601,,,,,,,
"MULTILINESTRING ((-122.407969073735 37.80250971858, -122.408042439232 37.802867771037))",6687,6410000,GRANT,AVE,,GREENWICH ST,EDITH ST,0,,,,,132.09719484240102,,,,,,,
"MULTILINESTRING ((-122.363300092055 37.728725636301, -122.362662210948 37.728379152653))",1160,19482000,LOCKWOOD,ST,,UNNAMED #098,ROBINSON ST,0,,,,,223.508503510672,,,,,,,
"MULTILINESTRING ((-122.396784101027 37.765135440438, -122.39775059332 37.765077152925))",1666,775000,17TH,ST,,MISSOURI ST,CONNECTICUT ST,0,,,,,280.20103525187102,,,,,,,
"MULTILINESTRING ((-122.438753402054 37.779664573283, -122.438710827504 37.779747679797, -122.438867595632 37.780534091431, -122.438939974089 37.780593429867))",14698,4808201,DIVISADERO,ST,,TURK ST,EDDY ST,25,,,TAMAMABDALLAH,05/10/2016 11:40:16 PM +0000,352.67831341793504,,,,,,,
"MULTILINESTRING ((-122.42899032012 37.736392975642, -122.428442440013 37.735862391955))",14325,8867000,MATEO,ST,,CHENERY ST,ARLINGTON ST,0,,,,,249.86974651326202,,,,,,,
"MULTILINESTRING ((-122.406812947771 37.757767001273, -122.406855207836 37.757680887644, -122.406774545798 37.756921186261, -122.406712212322 37.756838678645))",3909,10667201,POTRERO,AVE,,21ST ST,22ND ST,25,,,,,346.31493301506305,,,,,,,
"MULTILINESTRING ((-122.403340748594 37.781933854419, -122.404416895686 37.781081542669))",4458,12475000,TEHAMA,ST,,GALLAGHER LN,05TH ST,0,,,,,439.39344270527107,,,,,,,
"MULTILINESTRING ((-122.436528050485 37.779465501259, -122.436991737041 37.77940886786))",10189,5206000,ELM,ST,,START: 1150-1199 BLOCK,SCOTT ST,0,,,,,135.595228378126,,,,,,,
"MULTILINESTRING ((-122.395444679074 37.719563046608, -122.396630231876 37.720235854185))",6697,7433000,JAMESTOWN,AVE,,JENNINGS ST,03RD ST,25,,,,,421.457994845847,,,,,,,
"MULTILINESTRING ((-122.466743117518 37.754672861852, -122.466613718884 37.752808016939))",3293,476000,10TH,AVE,,NORIEGA ST,ORTEGA ST,0,,,,,680.10971918570112,,,,,,,
"MULTILINESTRING ((-122.41558553679 37.79868507418, -122.417230988755 37.798477100456))",16063,6461000,GREEN,ST,,JONES ST,LEAVENWORTH ST,0,,,,,481.45065073892499,,,,,,,
"MULTILINESTRING ((-122.437679592599 37.733757906548, -122.437897542193 37.733097195357))",11218,6635000,HAMERTON,AVE,,HAMERTON AVE,MANGELS AVE,0,,,,,248.71565775155503,,,,,,,
"MULTILINESTRING ((-122.439350029398 37.760631665344, -122.43926969977 37.759812590766))",7117,4943000,DOUGLASS,ST,,18TH ST,CASELLI AVE,0,,,,,299.16759597640402,,,,,,,
"MULTILINESTRING ((-122.405156192933 37.79621590155, -122.405301612935 37.796914004585))",5532,7761000,KEARNY,ST,,JACKSON ST,COLUMBUS AVE,0,,,,,257.66435553548303,,,,,,,
"MULTILINESTRING ((-122.444327563113 37.732351840537, -122.444333612026 37.733092626264))",9842,4729000,DETROIT,ST,,JOOST AVE,MANGELS AVE,0,,,,,269.76048882463402,,,,,,,
"MULTILINESTRING ((-122.404578583987 37.722068593358, -122.405054981763 37.721944559796))",10659,9925000,OLMSTEAD,ST,,GOETTINGEN ST,END: 300-399 BLOCK,0,,,,,145.011445337118,,,,,,,
"MULTILINESTRING ((-122.450009697682 37.719029555793, -122.4508338646 37.719359822813))",8937,9433000,MOUNT VERNON,AVE,,TARA ST,LOUISBURG ST,0,,,,,267.01688627267799,,,,,,,
"MULTILINESTRING ((-122.411606055458 37.749441174063, -122.41149733974 37.748303229318))",7404,6759000,HARRISON,ST,,26TH ST,CESAR CHAVEZ ST,0,,,,,415.57083051830801,,,,,,,
"MULTILINESTRING ((-122.469680240684 37.738510210611, -122.469069896428 37.737974819699))",16160,576000,14TH,AVE,,WAWONA ST,WEST PORTAL AVE,0,,,,,262.98926146206804,,,,,,,
"MULTILINESTRING ((-122.500075779277 37.734909835081, -122.500506612085 37.735109958977, -122.500915098832 37.73525770891, -122.5011107064 37.735211416539))",13597,11961202,SLOAT,BLVD,,42ND AVE,43RD AVE,35,,,,,333.18003283156003,,,,,,,
"MULTILINESTRING ((-122.421961801637 37.788494588545, -122.42208316142 37.78857472404, -122.422158595414 37.788947569054))",12900,13156101,VAN NESS,AVE,,BUSH ST,AUSTIN ST,25,,,,,183.13507074298101,,,,,,,
"MULTILINESTRING ((-122.501023219009 37.736328441317, -122.500972390811 37.735475613776, -122.5011107064 37.735211416539))",13139,1969000,43RD,AVE,,WAWONA ST,SLOAT BLVD,0,,,,,415.09346280886302,,,,,,,
"MULTILINESTRING ((-122.427596439271 37.753296727647, -122.428178521908 37.753261849854))",11063,1277000,23RD,ST,,CHURCH ST,NELLIE ST,0,,,,,168.775188045383,,,,,,,
"MULTILINESTRING ((-122.413432832645 37.772347493933, -122.412363462251 37.771494463322))",8578,7702000,JUNIPER,ST,,FOLSOM ST,END: 1-99 BLOCK,0,,,,,438.222521647549,,,,,,,
"MULTILINESTRING ((-122.438784424129 37.718123820008, -122.437958019967 37.717729011512))",12279,7341000,ITALY,AVE,,LONDON ST,PARIS ST,0,,,,,278.95230389078904,,,,,,,
"MULTILINESTRING ((-122.423813885111 37.761570615529, -122.423752418025 37.761441390699, -122.423616832885 37.760081567694, -122.423654522097 37.759972318502))",11552,6580101,GUERRERO,ST,,18TH ST,19TH ST,25,,,,,588.27525582017506,,,,,,,
"MULTILINESTRING ((-122.472392496789 37.726825836542, -122.472466172114 37.725554851566))",12680,12959000,JUNIPERO SERRA,BLVD,,WINSTON DR,STONECREST DR,0,,,,,463.31503322100201,,,,,,,
