permit_number,StreetName,Cross Street 1,Cross Street 2,Utility Contractor,Permit Reason,Utility Type,Effective Date,Expiration Date,Status,cnn
18EXC-1888,BARTLETT ST,22ND ST,23RD ST,Pacific Gas & Electric,Install New Pole,Electric,05/17/2018 12:00:00 AM,06/15/2018 12:00:00 AM,APPROVED,2743000
18EXC-1022,PUTNAM ST,OGDEN AVE,CRESCENT AVE,Anvil Builders Inc,Install New Main,Water Service:Curb Ramp,03/29/2018 12:00:00 AM,02/11/2019 12:00:00 AM,ACTIVE,10801000
17EXC-0068,01ST ST,BUSH ST \ MARKET ST,STEVENSON ST,Shaw Pipeline Inc.,Reconstruct Pavement,Street / Roadway:Curb Ramp:Sewer,03/28/2017 12:00:00 AM,11/17/2018 12:00:00 AM,APPROVED,100000
17EXC-6483,WEBSTER ST,GROVE ST,FULTON ST,Pacific Gas & Electric,Replace/Repair Box,Electric,05/21/2018 12:00:00 AM,06/18/2018 12:00:00 AM,APPROVED,13531101
18EXC-1022,PUTNAM ST,TOMPKINS AVE,OGDEN AVE,Anvil Builders Inc,Install New Main,Water Service:Curb Ramp,03/29/2018 12:00:00 AM,02/11/2019 12:00:00 AM,ACTIVE,10800000
18EXC-1022,TOMPKINS AVE,PUTNAM ST,BRONTE ST,Anvil Builders Inc,Install New Main,Water Service:Curb Ramp,03/29/2018 12:00:00 AM,02/11/2019 12:00:00 AM,ACTIVE,12640000
18EXC-1022,PUTNAM ST,JARBOE AVE,TOMPKINS AVE,Anvil Builders Inc,Install New Main,Water Service:Curb Ramp,03/29/2018 12:00:00 AM,02/11/2019 12:00:00 AM,ACTIVE,10799000
18EXC-1022,OGDEN AVE,PUTNAM ST,,Anvil Builders Inc,Install New Main,Water Service:Curb Ramp,03/29/2018 12:00:00 AM,02/11/2019 12:00:00 AM,ACTIVE,28200000
18EXC-1022,CRESCENT AVE,PUTNAM ST,,Anvil Builders Inc,Install New Main,Water Service:Curb Ramp,03/29/2018 12:00:00 AM,02/11/2019 12:00:00 AM,ACTIVE,33662000
18EXC-1022,JARBOE AVE,PUTNAM ST,,Anvil Builders Inc,Install New Main,Water Service:Curb Ramp,03/29/2018 12:00:00 AM,02/11/2019 12:00:00 AM,ACTIVE,21058000
14EXC-0431,04TH ST,FREELON ST,BRANNAN ST,Tutor Perini Corporation,Other,Other,01/22/2014 12:00:00 AM,12/31/2018 12:00:00 AM,APPROVED,264000
18EXC-1022,PUTNAM ST,CORTLAND AVE,JARBOE AVE,Anvil Builders Inc,Install New Main,Water Service:Curb Ramp,03/29/2018 12:00:00 AM,02/11/2019 12:00:00 AM,ACTIVE,10798000
18EXC-1888,22ND ST,BARTLETT ST,,Pacific Gas & Electric,Install New Pole,Electric,05/17/2018 12:00:00 AM,06/15/2018 12:00:00 AM,APPROVED,24112000
18EXC-1022,PUTNAM ST,TOMPKINS AVE,,Anvil Builders Inc,Install New Main,Water Service:Curb Ramp,03/29/2018 12:00:00 AM,02/11/2019 12:00:00 AM,ACTIVE,21057000
17EXC-0068,02ND ST,STEVENSON ST,JESSIE ST,Shaw Pipeline Inc.,Reconstruct Pavement,Street / Roadway:Curb Ramp:Sewer,03/28/2017 12:00:00 AM,11/17/2018 12:00:00 AM,APPROVED,130000
17EXC-5077,06TH ST,HOWARD ST,,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,23946000
17EXC-5077,SOUTH VAN NESS AVE,21ST ST,22ND ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,12028000
17EXC-5077,GUERRERO ST,19TH ST,20TH ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,6581101
17EXC-5077,25TH ST,SOUTH VAN NESS AVE,,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,24062000
17EXC-5077,24TH ST,SOUTH VAN NESS AVE,,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,24063000
17EXC-5077,23RD ST,SOUTH VAN NESS AVE,CAPP ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,1263000
17EXC-5077,SOUTH VAN NESS AVE,24TH ST,25TH ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,12031000
17EXC-5077,JONES ST,PINE ST,CALIFORNIA ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,7577000
17EXC-5077,CALIFORNIA ST,JONES ST,,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,25091000
17EXC-5077,06TH ST,HOWARD ST,TEHAMA ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,332000
18EXC-1469,SPEAR ST,MISSION ST,HOWARD ST,CableCom,Install New Service,Cable TV,04/30/2018 12:00:00 AM,06/13/2018 12:00:00 AM,APPROVED,12045000
17EXC-5077,HOWARD ST,06TH ST,HARRIET ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,7043000
17EXC-5077,SOUTH VAN NESS AVE,20TH ST,21ST ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,12027000
17EXC-5077,SOUTH VAN NESS AVE,23RD ST,24TH ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,12030000
17EXC-5077,GUERRERO ST,20TH ST,LIBERTY ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,6582101
17EXC-5077,LEAVENWORTH ST,POST ST,,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,25157000
17EXC-5077,21ST ST,SOUTH VAN NESS AVE,CAPP ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,1107000
18EXC-1469,HOWARD ST,SPEAR ST,,CableCom,Install New Service,Cable TV,04/30/2018 12:00:00 AM,06/13/2018 12:00:00 AM,APPROVED,24547000
17EXC-1397,BRADY ST,STEVENSON ST,COLTON ST,"Precision Engineering, Inc.",Reconstruct Pavement,Street / Roadway:Curb Ramp:Sewer,04/08/2017 12:00:00 AM,08/30/2018 12:00:00 AM,APPROVED,3069000
17EXC-5077,GUERRERO ST,18TH ST,19TH ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,6580101
17EXC-5077,LEAVENWORTH ST,CALIFORNIA ST,ACORN ALY,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,8249000
17EXC-5077,CALIFORNIA ST,TAYLOR ST,JONES ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,3543000
17EXC-5138,GROVE ST,GOUGH ST,OCTAVIA ST,Pacific Gas & Electric,Replace Pole,Electric,05/15/2018 12:00:00 AM,06/12/2018 12:00:00 AM,APPROVED,6557000
17EXC-5077,26TH ST,SOUTH VAN NESS AVE,,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,21296000
17EXC-5077,23RD ST,SOUTH VAN NESS AVE,,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,24075000
17EXC-5077,24TH ST,SHOTWELL ST,SOUTH VAN NESS AVE,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,1341000
17EXC-5077,LEAVENWORTH ST,SUTTER ST,BUSH ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,8246000
17EXC-5077,21ST ST,SOUTH VAN NESS AVE,,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,24083000
17EXC-5077,MASON ST,DERBY ST,POST ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,8805000
17EXC-5077,22ND ST,SOUTH VAN NESS AVE,,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,24081000
17EXC-5077,20TH ST,VALENCIA ST,GUERRERO ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,1059000
14EXC-0431,TOWNSEND ST,04TH ST,05TH ST,Tutor Perini Corporation,Other,Other,01/22/2014 12:00:00 AM,12/31/2018 12:00:00 AM,APPROVED,12663000
17EXC-5077,19TH ST,LINDA ST,GUERRERO ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,977000
17EXC-0068,02ND ST,MARKET ST,STEVENSON ST,Shaw Pipeline Inc.,Reconstruct Pavement,Street / Roadway:Curb Ramp:Sewer,03/28/2017 12:00:00 AM,11/17/2018 12:00:00 AM,APPROVED,129000
17EXC-5077,JONES ST,CALIFORNIA ST,SACRAMENTO ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,7578000
17EXC-5077,25TH ST,SOUTH VAN NESS AVE,CYPRESS ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,1437000
